151.4,35.3,57,6,8,0,0
151.5,35.6,57,10,4,4,2
151.6,35.8,57,5,8,3,0
151.6,36.4,57,2,16,6,0
151.7,36.2,57,9,32,5,0
151.8,36.4,57,8,4,11,2
152.2,36.6,58,1,32,4,0
152.4,36.6,57,4,2,5,1
152.6,36.1,57,7,2,6,0
152.6,36.5,57,3,4,11,2
156.8,36.8,59,2,64,7,3
158.1,37,58,6,32,3,0
158.2,38,57,5,8,3,1
158.3,36.9,54,4,16,2,1
158.3,37.6,57,11,8,2,0
158.7,38,57,12,8,2,0
159.1,38.7,57,3,4,6,2
159.2,37.7,57,10,16,8,2
159.4,38.2,58,9,64,5,3
159.8,39.3,57,8,4,1,0
161,40,57,7,32,4,1
161.3,40.1,55,1,4,6,0
152.4,35.4,55,9,64,1,0
152.8,35.2,55,3,16,0,0
153.1,35.7,55,5,64,1,1
153.2,36.1,55,2,32,1,0
153.2,36.3,57,7,64,2,2
153.5,36.2,55,8,16,2,1
153.5,36.6,55,10,32,2,0
153.6,36.8,57,16,32,3,0
154.1,37.6,57,13,64,7,3
154.1,36.8,57,6,64,1,0
154.5,37.5,57,14,32,2,0
154.5,37.3,57,12,64,2,1
154.6,37.5,57,11,16,7,1
154.9,37.5,57,4,32,2,1
155,37.4,55,1,64,3,0
156.2,39.4,57,15,32,7,3
155.4,34.7,57,11,64,6,2
155.5,34.6,56,6,16,1,0
155.5,34.6,56,7,8,1,0
155.7,34.9,56,8,16,14,4
155.8,34.6,56,2,16,7,1
155.9,35,55,5,4,1,0
156.2,35.1,56,15,8,8,4
156.3,34.9,56,12,32,8,2
156.3,34.7,56,13,16,7,1
156.4,35,56,3,8,7,1
156.6,35,57,1,32,5,1
156.6,34.7,55,14,32,11,2
156.8,35.7,56,10,8,8,0
157,35.7,56,9,8,6,0
158.7,37.3,56,4,8,2,0
152,35.9,55,10,64,1,1
152.1,36.1,57,5,32,2,0
152.2,36,55,7,64,1,1
152.3,35.9,55,9,32,1,0
152.5,36.9,55,16,64,5,2
153,36.4,57,11,32,1,1
153.1,36.6,55,13,64,2,0
153.5,37.1,57,3,32,5,0
153.6,36.9,57,8,32,1,0
153.6,37.6,57,15,64,4,0
154.3,38.5,55,6,32,10,2
154.3,38.4,55,12,32,3,1
154.4,39.1,57,2,16,4,0
154.6,38.8,57,1,64,4,0
155.2,38.8,55,4,8,0,0
155.4,38.4,55,14,32,6,2
153.3,34.7,53,4,32,4,2
153.4,34.5,54,7,16,4,1
153.4,34.5,57,2,64,2,0
153.9,34.7,56,1,8,2,0
153.9,35.5,56,10,8,4,2
153.9,35.2,57,8,32,6,2
154.2,35.1,56,9,32,0,0
154.2,34.7,56,13,16,5,1
154.7,35.1,56,3,16,1,0
154.8,35.1,56,11,8,10,3
154.9,35.6,56,14,32,5,1
154.9,36.4,56,12,32,5,1
155,35.7,56,15,8,2,0
155.2,36.3,56,5,8,9,0
155.2,36,53,6,8,8,2
155,36.2,55,9,64,0,0
155,35.4,55,14,32,0,0
155.1,36.5,57,13,64,3,0
155.5,36.5,55,7,64,2,0
155.6,36.3,57,5,64,1,0
155.6,36.8,55,10,16,3,1
155.6,36.2,57,8,64,3,0
155.8,36.8,57,3,16,12,3
155.9,36.8,57,15,32,5,1
155.9,36.6,55,4,64,0,0
156.4,36.5,57,16,32,0,0
156.5,37.6,57,6,64,3,0
156.8,38.4,55,1,32,1,1
157,38.2,55,12,32,3,1
158.2,38.5,57,11,32,3,0
152.9,35.7,56,14,32,7,2
153.1,35.6,56,10,32,2,0
153.1,36.1,57,12,32,5,1
153.3,35.3,55,11,8,4,2
153.5,35.7,56,13,8,1,0
153.5,36.6,56,8,16,2,0
154.3,37.1,56,4,8,0,0
154.4,37.9,56,6,8,9,2
154.4,36.5,54,3,8,1,0
154.7,37.5,56,1,16,4,0
155.2,37.8,56,2,8,6,0
155.4,38.7,56,5,8,1,0
155.7,39.4,54,7,64,1,0
157.2,40.4,56,9,32,2,1
150.5,34.7,55,6,64,0,0
151.3,35.4,55,10,64,2,2
151.4,35,55,7,64,0,0
151.6,36,57,5,64,2,1
151.6,35.8,57,11,64,2,0
151.9,35.8,57,16,64,3,0
152.1,36,57,8,64,6,3
152.3,36.7,55,14,8,1,0
152.3,36.9,55,9,64,0,0
152.4,37.2,57,3,16,1,0
152.8,38,57,13,64,3,1
153.6,38.3,57,2,64,3,0
154,39.9,57,4,32,3,1
155,42.1,55,15,64,3,0
155.3,39.8,55,1,32,1,0
155.3,40.6,55,12,32,2,0
154.2,35.4,55,1,16,0,0
154.4,35.6,55,7,16,0,0
154.6,35.2,56,4,32,12,3
154.8,35.5,55,10,8,2,0
154.9,35.9,56,2,32,2,1
155,35.3,56,6,8,1,1
155.3,36,56,12,32,3,0
155.6,35.7,56,5,8,9,1
155.8,36.2,56,11,8,1,0
155.9,36.9,56,9,8,3,0
156.8,36.9,56,3,8,6,0
157.1,37.3,56,8,8,3,0
152.2,35.7,55,8,16,0,0
152.2,35.4,57,12,64,4,3
152.4,35.5,57,15,64,2,0
152.7,36.6,57,11,64,2,0
152.8,37.5,57,14,64,1,0
152.8,36.2,57,6,64,2,1
152.9,35.6,57,16,32,10,3
153,36.7,55,3,64,1,1
153,36.9,57,1,16,0,0
153,36.3,57,4,64,2,1
153.1,35.4,57,10,32,4,2
153.4,36.1,57,9,32,3,1
153.5,36.4,55,13,32,0,0
153.7,36.7,57,5,32,1,1
153.8,37.5,57,2,32,2,0
154.5,38.2,57,7,16,5,0
153.9,35.6,56,12,8,0,0
154,34.8,55,3,8,0,0
154.1,34.6,57,11,32,9,3
154.1,35.8,56,4,8,0,0
154.3,35.3,56,7,8,2,1
154.3,35.6,56,9,16,4,2
154.5,35.9,56,15,4,10,2
154.5,35.6,56,6,8,2,1
154.6,36.7,57,14,64,0,0
154.6,36,56,1,8,2,0
155.3,35.5,56,10,8,1,0
155.4,35.9,56,2,8,7,0
155.4,36.1,56,5,8,7,1
158.6,37.2,56,13,8,4,0
159.4,38,56,8,8,15,0
153.6,35.2,57,2,64,5,2
153.8,35.1,55,3,64,2,2
153.8,34.8,57,10,64,1,0
153.8,34.5,55,14,32,1,0
154,34.3,55,11,32,3,1
154.1,35.6,57,7,32,1,1
154.2,34.7,57,16,16,4,0
154.3,34.9,57,8,16,2,0
154.3,35.5,55,6,16,2,0
154.4,35.8,57,1,32,3,2
154.5,35.1,55,13,64,1,0
154.6,35.4,55,4,16,0,0
154.6,35.4,57,12,64,2,1
154.8,36,55,5,16,1,1
155.1,36.5,57,15,32,3,0
155.5,36.6,57,9,32,7,3
152.6,35.5,55,11,64,1,0
152.6,35.8,57,1,64,4,2
152.7,35.7,57,2,64,6,4
152.9,35.1,57,4,32,2,2
153,35.8,55,8,64,0,0
153.1,35.7,57,14,32,0,0
153.3,35.3,57,15,32,6,2
153.4,35.8,57,6,16,3,0
153.4,35.7,55,13,32,1,0
153.6,36.2,55,16,64,7,2
153.6,36.3,57,10,32,3,1
154.1,36.1,57,9,32,4,0
154.8,37.8,57,12,32,3,0
154.9,37.1,57,3,32,4,0
155,38.3,57,7,16,5,2
155.6,38,57,5,8,12,2